# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_clocktown_v1
# Exported by: code_gs
setting:	replacespawns 0
ttt_random_ammo	511.748779 2708.164063 -39.612041	0.357 0.002 0.378
ttt_random_ammo	473.444763 2702.048340 -39.664780	0.046 0.000 -0.026
ttt_random_ammo	445.192841 2698.551270 -39.655441	0.048 0.000 -0.019
ttt_random_ammo	1470.181763 1027.027710 -25.554628	0.975 0.026 1.171
ttt_random_ammo	1469.197510 1038.102417 -25.618984	0.186 0.001 0.167
ttt_random_ammo	1461.768188 1056.058716 -25.640472	0.062 0.000 0.006
ttt_random_ammo	1462.605835 1067.514038 -25.677292	0.046 0.000 -0.033
ttt_random_ammo	1461.385132 1090.998169 -25.559950	1.148 0.029 1.387
ttt_random_ammo	1459.963623 1103.865845 -25.667202	0.046 0.000 -0.028
ttt_random_ammo	1457.049072 1124.614258 -25.632700	0.082 0.000 0.034
ttt_random_ammo	1451.853638 1139.515869 -25.634588	0.076 0.000 0.025
ttt_random_ammo	1452.261597 1173.326294 -25.646675	0.054 0.000 -0.008
ttt_random_ammo	1447.709473 1183.290771 -25.613258	0.306 0.002 0.316
ttt_random_ammo	1664.336060 -755.801575 -127.632698	0.082 0.000 0.034
ttt_random_ammo	1657.474976 -759.700012 -127.622177	0.149 0.001 0.121
ttt_random_ammo	1638.536743 -756.427551 -127.629028	0.097 0.000 0.055
ttt_random_ammo	1630.668457 -756.769043 -127.653198	0.049 0.000 -0.017
ttt_random_ammo	1614.786011 -741.144592 -127.642502	0.058 0.000 -0.000
ttt_random_ammo	1603.404907 -741.543152 -127.556007	1.064 0.028 1.285
ttt_random_ammo	1611.697510 -710.336365 -127.625519	0.119 0.000 0.083
ttt_random_ammo	1603.499878 -709.500854 -127.619186	-0.327 -0.222 -0.276
ttt_random_ammo	1660.988525 -705.404602 -127.644569	0.056 0.000 -0.004
ttt_random_ammo	1645.894165 -708.473206 -127.605095	1.435 0.024 1.693
ttt_random_ammo	-531.865784 63.704285 -427.622162	0.149 0.001 0.121
ttt_random_ammo	-519.988281 61.091682 -427.653168	0.049 0.000 -0.017
ttt_random_ammo	-533.916687 111.928276 -427.679901	0.046 0.000 -0.034
ttt_random_ammo	-519.523254 117.482780 -427.660004	0.047 0.000 -0.023
ttt_random_ammo	-533.314331 147.304428 -427.536743	0.654 0.021 0.789
ttt_random_ammo	-517.854553 146.751358 -427.605133	1.247 0.019 1.465
ttt_random_ammo	-66.653198 55.644978 -427.563202	1.153 0.029 1.386
ttt_random_ammo	-84.334167 60.777184 -427.655396	0.048 -0.000 0.019
ttt_random_ammo	-65.682693 94.460701 -427.650970	0.050 0.000 -0.014
ttt_random_ammo	-83.683342 94.626740 -427.614868	0.274 -0.001 -0.277
ttt_random_ammo	-63.569298 134.665985 -427.569794	1.356 0.033 1.638
ttt_random_ammo	-81.587563 129.141052 -427.612000	0.355 0.002 0.376
ttt_random_ammo	128.928482 -736.425049 -427.629028	0.097 0.000 0.054
ttt_random_ammo	114.614723 -736.723022 -427.653168	0.049 0.000 -0.017
ttt_random_ammo	79.373177 -739.518005 -427.620544	0.166 0.001 0.142
ttt_random_ammo	67.110802 -739.078613 -427.606873	0.693 0.006 0.790
ttt_random_ammo	42.242264 -736.142700 -427.620544	0.167 0.001 0.144
ttt_random_ammo	29.372818 -735.101318 -427.606842	0.691 0.006 0.788
ttt_random_ammo	436.389160 226.959274 -329.574097	1.220 -0.030 -1.452
ttt_random_ammo	465.814270 223.478790 -329.638519	0.064 -0.000 -0.010
ttt_random_ammo	378.253113 230.941498 -329.623901	0.128 -0.000 -0.096
ttt_random_ammo	398.471985 227.741409 -329.612305	0.346 -0.002 -0.366
ttt_random_ammo	384.285248 165.071228 -329.575165	1.380 0.032 1.659
ttt_random_ammo	400.585175 168.617416 -329.562988	1.055 -0.027 -1.260
ttt_random_ammo	448.441589 178.531372 -329.629089	0.093 -0.000 -0.051
ttt_random_ammo	468.874207 183.054840 -329.672211	0.045 0.000 -0.030
ttt_random_ammo	457.848633 139.951782 -329.653229	0.048 0.000 -0.017
ttt_random_ammo	481.433014 144.477905 -329.615997	0.232 0.001 0.226
ttt_random_ammo	390.081940 122.840225 -329.677307	0.045 -0.000 0.032
ttt_random_ammo	403.187500 123.956223 -329.655487	0.047 0.000 -0.019
ttt_random_ammo	1394.723145 1402.695557 -736.540894	0.724 0.022 0.872
ttt_random_ammo	1385.779175 1365.384766 -736.557007	1.105 -0.028 -1.339
ttt_random_ammo	1380.384155 1326.261841 -736.612000	0.359 0.002 0.381
ttt_random_ammo	-1475.896484 -306.505798 -622.557983	-1.511 -0.036 1.817
ttt_random_ammo	-1485.551270 -332.873840 -622.606506	-0.352 -0.002 0.373
ttt_random_ammo	-1503.244507 -352.838165 -622.525330	-0.604 -0.021 0.728
ttt_random_ammo	-1525.986694 -369.167297 -622.537537	-0.965 -0.026 1.163
ttt_random_ammo	-1547.245972 -384.963501 -622.654724	-0.047 -0.000 -0.019
ttt_random_ammo	-1416.564941 -319.550140 -622.616028	0.233 0.001 0.227
ttt_random_ammo	-1423.082275 -348.342804 -622.650208	-0.049 -0.000 -0.014
ttt_random_ammo	-1439.496094 -378.019836 -622.629456	-0.088 -0.000 0.043
ttt_random_ammo	-1477.597046 -410.850677 -622.548523	-1.242 -0.031 1.492
ttt_random_ammo	-1526.226196 -419.776184 -622.545166	-1.193 -0.029 1.438
ttt_random_ammo	-683.886841 -649.111938 -456.281525	0.058 0.000 -0.000
ttt_random_ammo	-683.808960 -638.397156 -456.277496	0.066 0.000 0.011
weapon_zm_rifle	441.525391 2658.869141 -38.756313	0.261 -4.164 -88.900
weapon_zm_rifle	504.437592 2659.941650 -38.738922	0.220 -4.167 -89.084
weapon_zm_rifle	1619.398682 934.891113 -109.778435	-4.743 3.656 122.162
weapon_zm_rifle	551.583496 -660.655090 -206.750168	0.289 -4.230 -88.935
weapon_zm_rifle	558.959473 -628.024963 -206.760559	0.325 -4.229 -88.816
weapon_zm_rifle	-282.166290 1069.171265 -548.711975	0.233 -5.963 -88.940
weapon_zm_rifle	354.712158 -644.273804 -206.824570	0.373 -3.947 -88.211
weapon_zm_rifle	-310.888947 776.140686 -184.765533	0.273 -4.087 -88.865
weapon_zm_mac10	-2540.328125 2471.222168 -242.615860	0.396 -51.149 -88.414
weapon_zm_mac10	-2625.337646 2356.595703 -242.783661	-0.530 -52.296 -88.503
weapon_zm_mac10	-941.524597 1894.588989 -121.687325	0.055 -56.510 -87.871
weapon_zm_mac10	1697.454834 942.002441 -112.798950	-0.282 -56.336 -88.592
weapon_zm_mac10	-423.225830 1288.712036 -548.781921	-0.437 -56.215 -88.622
weapon_zm_mac10	-356.736328 1291.317383 -548.781921	-0.437 -56.215 -88.622
weapon_zm_mac10	369.411957 -668.585144 -206.872589	-0.737 -57.787 -87.845
item_ammo_357_ttt	441.962067 2638.692871 -39.601227	1.322 -0.059 -1.037
item_ammo_357_ttt	457.398560 2643.483398 -39.583382	1.111 -0.035 -0.778
item_ammo_357_ttt	502.661713 2641.553223 -39.548359	0.698 -0.021 -0.270
item_ammo_357_ttt	515.985352 2642.110596 -39.589367	1.182 -0.042 -0.865
item_ammo_357_ttt	1641.301636 907.387268 -113.566925	0.911 -0.025 -0.528
item_ammo_357_ttt	1630.989624 910.369202 -113.578552	1.046 -0.030 -0.693
item_ammo_357_ttt	549.477356 -679.303284 -207.565399	0.899 -0.026 -0.517
item_ammo_357_ttt	571.282654 -681.347595 -207.588455	1.172 -0.039 -0.852
item_ammo_357_ttt	550.540771 -644.801514 -207.584183	1.121 -0.035 -0.790
item_ammo_357_ttt	570.553345 -643.605225 -207.573792	0.998 -0.030 -0.639
item_ammo_357_ttt	-284.523499 1062.365234 -549.548523	1.267 -0.251 -0.825
item_ammo_357_ttt	-267.108948 1061.819092 -549.586548	1.139 -0.036 -0.805
item_ammo_357_ttt	377.277832 -654.304138 -207.559937	0.835 -0.024 -0.438
item_ammo_357_ttt	361.420624 -653.380249 -207.595001	1.249 -0.048 -0.947
item_ammo_357_ttt	-259.415131 774.987854 -185.569397	0.946 -0.027 -0.575
item_ammo_357_ttt	-247.391937 775.120605 -185.593109	1.226 -0.044 -0.919
item_ammo_pistol_ttt	-2553.156006 2174.731201 -231.968826	74.995 155.096 177.534
item_ammo_pistol_ttt	-2573.397949 2176.877197 -233.722046	86.311 -32.619 -9.317
item_ammo_pistol_ttt	-2649.766846 2249.929932 -233.594666	88.116 -44.186 -20.789
item_ammo_pistol_ttt	-2649.793213 2269.271729 -233.494583	86.538 151.149 166.015
item_ammo_pistol_ttt	-2430.194336 2166.263916 -233.379669	87.600 145.025 163.480
item_ammo_pistol_ttt	-2447.763672 2165.238281 -233.301270	88.988 -38.639 -16.265
item_ammo_pistol_ttt	-2331.835693 2180.017090 -232.373352	-86.084 -47.693 169.971
item_ammo_pistol_ttt	-2359.897461 2173.295166 -231.430588	88.667 -55.392 -172.904
item_ammo_pistol_ttt	-994.456421 1855.731201 -122.571457	0.039 -0.042 0.004
item_ammo_pistol_ttt	-1004.576843 1856.074219 -122.617210	0.032 -0.011 0.025
item_ammo_pistol_ttt	1686.125732 856.952271 -113.623581	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	1675.390503 856.086914 -113.654694	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	1664.870361 857.145752 -113.679718	-0.156 -0.017 -0.047
item_ammo_pistol_ttt	1653.936035 856.855347 -113.597321	-0.084 -0.020 -0.025
item_ammo_pistol_ttt	1668.881592 909.222778 -113.604858	-0.090 -0.020 -0.027
item_ammo_pistol_ttt	1661.562378 908.976990 -113.512726	-0.064 1.123 -0.095
item_ammo_pistol_ttt	-186.720032 1285.609619 -549.562317	-0.053 -0.020 -0.016
item_ammo_pistol_ttt	-172.649414 1279.869141 -549.571228	-0.061 -0.020 -0.018
item_ammo_pistol_ttt	-139.346848 1283.759644 -549.580383	0.441 -0.218 0.237
item_ammo_pistol_ttt	-128.751602 1288.246704 -549.553772	-0.046 -0.020 -0.014
item_ammo_pistol_ttt	-106.846054 1148.389526 -549.552612	0.531 0.066 0.011
item_ammo_pistol_ttt	-91.874039 1141.697144 -549.619934	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	-88.286766 1076.959473 -549.594482	-0.081 -0.020 -0.025
item_ammo_pistol_ttt	-98.555969 1076.590820 -549.654724	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	377.345612 -768.640198 -207.571854	-0.901 0.251 -0.745
item_ammo_pistol_ttt	362.729797 -768.859863 -207.647888	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	-269.725525 732.665955 -185.619934	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	-256.319214 732.710938 -185.633179	-0.115 -0.019 -0.035
weapon_zm_molotov	-1131.264038 2019.409058 -118.408127	0.153 -0.225 -0.026
weapon_zm_molotov	-1128.822754 2026.864990 -118.482552	0.279 -0.170 -0.055
weapon_zm_molotov	53.779995 2692.857422 -2.464970	2.864 -0.017 -2.842
weapon_zm_molotov	554.485596 -744.177917 -203.428070	3.170 -0.138 -3.291
weapon_zm_molotov	559.300232 -726.111694 -203.446487	3.610 -0.107 -3.742
weapon_zm_molotov	-164.653503 1371.999390 -548.294373	-39.524 -88.276 89.932
weapon_zm_molotov	-139.861023 1222.567383 -545.401123	2.775 0.033 1.194
weapon_zm_molotov	1673.301025 -254.052536 -203.464508	1.648 0.008 -1.500
weapon_zm_molotov	1666.790405 -249.790436 -203.464996	2.868 -0.017 -2.847
weapon_zm_molotov	1386.028442 427.560394 -313.923187	2.743 0.058 2.377
weapon_zm_molotov	1395.516968 424.367920 -313.876862	5.281 -0.264 -4.384
weapon_zm_molotov	1383.615845 415.333771 -313.912567	2.637 0.046 1.950
weapon_zm_molotov	-1505.249756 -401.734161 -618.471008	0.259 -0.181 -0.051
weapon_zm_molotov	-1519.050537 -406.193787 -618.460327	0.241 -0.194 -0.046
weapon_ttt_confgrenade	-1136.048462 2005.306030 -119.464798	1.789 0.251 -0.563
weapon_ttt_confgrenade	-1135.220825 2011.523438 -119.398544	0.745 0.240 -0.235
weapon_ttt_confgrenade	59.159863 2691.151611 -3.443906	2.191 0.594 -0.207
weapon_ttt_confgrenade	551.854736 -795.346008 -204.453339	1.626 0.223 -0.483
weapon_ttt_confgrenade	549.142090 -785.646790 -204.470123	1.891 0.231 -0.562
weapon_ttt_confgrenade	-145.001831 1234.229736 -547.936340	-12.833 -20.020 93.560
weapon_ttt_confgrenade	-138.023834 1231.333740 -547.942261	-49.677 -122.329 -100.148
weapon_ttt_confgrenade	1646.536743 -244.259705 -204.445267	0.149 -0.717 -1.307
weapon_ttt_confgrenade	1633.879395 -241.149124 -204.430145	1.257 0.222 -0.374
weapon_ttt_confgrenade	992.969971 418.766296 -314.939758	1.508 -1.856 -0.770
weapon_ttt_confgrenade	981.306213 421.656158 -314.923920	1.239 -1.869 -0.632
weapon_ttt_confgrenade	992.523621 430.890564 -314.967743	1.980 -1.800 -1.011
weapon_ttt_confgrenade	938.238708 2898.830566 -733.470825	1.436 0.143 -0.363
weapon_ttt_confgrenade	959.618103 2896.916504 -733.443726	1.110 0.137 -0.281
weapon_ttt_confgrenade	-1474.344971 -385.460388 -619.505615	0.191 -0.282 1.132
weapon_ttt_confgrenade	-1490.736572 -395.583557 -619.478149	0.157 -0.299 0.930
item_ammo_revolver_ttt	-2626.753662 2421.035156 -233.833145	69.988 42.696 -0.101
item_ammo_revolver_ttt	-2601.395020 2419.836182 -231.069336	-67.847 -156.053 176.360
item_ammo_revolver_ttt	-2394.843994 2444.212646 -234.028778	65.078 3.610 -0.463
item_ammo_revolver_ttt	-2373.297607 2434.438232 -233.580368	63.014 3.305 0.243
item_ammo_revolver_ttt	1740.594727 860.914734 -113.543877	0.642 -0.019 -0.201
item_ammo_revolver_ttt	1729.654053 858.797302 -113.591988	1.201 -0.042 -0.883
item_ammo_revolver_ttt	1711.775757 859.449829 -113.548584	0.697 -0.020 -0.267
item_ammo_revolver_ttt	1702.583008 857.729980 -113.574333	0.997 -0.028 -0.633
item_ammo_revolver_ttt	-497.237640 1205.154175 -549.573059	0.981 -0.027 -0.614
item_ammo_revolver_ttt	-486.389252 1215.643311 -549.578613	1.046 -0.030 -0.692
item_ammo_revolver_ttt	-454.839844 1233.573364 -549.571106	0.959 -0.026 -0.586
item_ammo_revolver_ttt	-447.367279 1237.634277 -549.554871	0.770 -0.021 -0.356
item_ammo_revolver_ttt	381.417603 -737.025330 -207.576538	1.031 -0.030 -0.679
item_ammo_revolver_ttt	367.887421 -734.527466 -207.588455	1.172 -0.039 -0.852
weapon_zm_shotgun	-1048.799927 1864.542847 -120.644073	9.460 -0.057 -0.512
weapon_zm_shotgun	1379.112915 1260.654785 -24.571735	-0.666 10.004 90.406
weapon_zm_shotgun	1630.766113 877.024780 -112.740128	-0.182 8.695 83.350
weapon_zm_shotgun	-441.193604 1084.432983 -548.732422	-0.270 8.699 83.761
weapon_zm_shotgun	-443.947662 1138.568359 -548.721802	-0.391 8.706 84.330
weapon_zm_sledge	-1107.491943 1856.984131 -118.579971	18.684 1.037 3.313
weapon_zm_sledge	-2311.484863 2416.244873 -239.593323	18.451 0.289 2.698
weapon_zm_sledge	1723.828247 928.829346 -109.618874	18.199 1.211 3.055
weapon_zm_sledge	-306.391327 1283.535522 -545.620544	18.196 1.217 3.074
weapon_zm_sledge	-243.242935 1276.019409 -545.628967	18.179 1.248 3.171
weapon_zm_revolver	-2632.442139 2396.823242 -242.044189	2.348 -21.649 -84.971
weapon_zm_revolver	-2409.324463 2459.883301 -242.067444	2.826 -21.224 -83.466
weapon_zm_revolver	1730.668945 877.438232 -112.083122	2.441 -20.374 -83.839
weapon_zm_revolver	1701.752075 878.111084 -112.114471	2.469 -20.319 -83.134
weapon_zm_revolver	-480.352905 1199.828247 -548.108032	2.464 -20.330 -83.278
weapon_zm_revolver	-443.968445 1214.974121 -548.039490	2.399 -20.433 -84.829
weapon_zm_revolver	367.195648 -722.213135 -206.096313	2.575 -20.508 -83.340
weapon_ttt_glock	-2637.229980 2230.756348 -243.514099	-1.127 26.630 92.632
weapon_ttt_glock	1678.892700 876.044922 -113.477013	-0.912 26.714 91.720
weapon_ttt_glock	-189.838440 1258.645142 -549.490845	-1.014 26.700 92.001
weapon_zm_pistol	-2555.482666 2164.175781 -243.706314	-0.059 36.505 88.202
weapon_zm_pistol	1661.780151 873.014221 -113.703621	-0.115 36.009 88.414
weapon_zm_pistol	-145.133438 1260.163452 -549.616394	0.048 36.911 89.852
weapon_zm_pistol	366.653503 -759.247009 -207.720520	0.021 35.161 87.750
weapon_zm_pistol	-302.545563 728.961487 -185.720566	0.020 35.160 87.750
